,close
2015-06-30,3.5976
2015-07-31,3.4752
2015-08-31,3.3252
2015-09-30,3.2362
2015-10-31,3.06
2015-11-30,3.0404
2015-12-31,2.8212
2016-01-31,2.8419
2016-02-29,2.8502
2016-03-31,2.8419
2016-04-30,2.8913
2016-05-31,2.9851
2016-06-30,2.8411
2016-07-31,2.7767
2016-08-31,2.7424
2016-09-30,2.7258
2016-10-31,2.7425
2016-11-30,2.9501
2016-12-31,3.0115
2017-01-31,3.3465
2017-02-28,3.2921
2017-03-31,3.2828
2017-04-30,3.4668
2017-05-31,3.6102
2017-06-30,3.5683
2017-07-31,3.626
2017-08-31,3.6265
2017-09-30,3.6136
2017-10-31,3.8917
2017-11-30,3.8901
2017-12-31,3.8807
2018-01-31,3.914
2018-02-28,3.8202
2018-03-31,3.7407
2018-04-30,3.6364
2018-05-31,3.6128
2018-06-30,3.4756
2018-07-31,3.4812
2018-08-31,3.5751
2018-09-30,3.6103
2018-10-31,3.5086
2018-11-30,3.355
2018-12-31,3.2265
2019-01-31,3.1037
2019-02-28,3.1731
2019-03-31,3.0683
2019-04-30,3.3869
2019-05-31,3.275
2019-06-30,3.2254
2019-07-31,3.1552
2019-08-31,3.0572
2019-09-30,3.1411
2019-10-31,3.288
2019-11-30,3.165
2019-12-31,3.1365
2020-01-31,2.9932
2020-02-29,2.7376
2020-03-31,2.5899
2020-04-30,2.5379
2020-05-31,2.7053
2020-06-30,2.823
2020-07-31,2.9664
2020-08-31,3.0177
2020-09-30,3.1482
2020-10-31,3.181
2020-11-30,3.25
2020-12-31,3.1429
2021-01-31,3.1786
2021-02-28,3.2798
2021-03-31,3.1887
2021-04-30,3.164
2021-05-31,3.045
2021-06-30,3.0778
2021-07-31,2.8363
2021-08-31,2.845
2021-09-30,2.8776
2021-10-31,2.9732
2021-11-30,2.825
2021-12-31,2.7754
2022-01-31,2.7021
2022-02-28,2.775
2022-03-31,2.7878
2022-04-30,2.8386
2022-05-31,2.7426
2022-06-30,2.8205
2022-07-31,2.756
2022-08-31,2.6225
2022-09-30,2.7601
2022-10-31,2.6433
2022-11-30,2.885
2022-12-31,2.8353
2023-01-31,2.8977
2023-02-28,2.9017
2023-03-31,2.8528
2023-04-30,2.7788
2023-05-31,2.685
2023-06-30,2.6351
2023-07-31,2.6597
2023-08-31,2.5575
2023-09-30,2.6751
2023-10-31,2.6938
2023-11-30,2.668
2023-12-31,2.5553
2024-01-31,2.433
2024-02-29,2.3375
2024-03-31,2.2901
2024-04-30,2.3028
2024-05-31,2.2926
2024-06-30,2.2058
2024-07-31,2.1494
2024-08-31,2.1704
2024-09-30,2.1518
2024-10-31,2.1476
2024-11-30,2.0206
2024-12-31,1.6752
2025-01-31,1.6299
2025-02-28,1.7152
2025-03-31,1.8129
2025-04-30,1.6243
2025-05-31,1.6712
2025-06-30,1.6469
2025-07-31,1.7044
2025-08-31,1.8379
2025-09-30,1.8605
2025-10-31,1.7954
2025-11-30,1.8412
2025-12-31,1.8473
2026-01-31,1.8112
2026-02-28,1.7753
2026-03-31,1.8171
2026-04-30,1.7473
2026-05-31,1.709
2026-06-30,1.733
2026-07-31,1.7141
2026-08-31,1.6883
2026-09-30,1.6815
